State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
Andhra Pradesh,152,6,2,7429,741,150,56,2021,8480
Arunachal Pradesh,0,0,0,66,86,8,4,2021,164
Assam,193,27,3,10598,5703,1286,205,2021,18015
Bihar,1081,0,4,nan,6188,0,697,2021,7970
Chhattisgarh,75,3,0,582,1474,2,544,2021,2680
Goa,1,2,0,21,64,0,0,2017,88
Gujarat,9,4,4,3232,1270,0,312,2017,4831
Haryana,254,8,4,3389,nan,873,368,2017,4896
Himachal Pradesh,3,7,2,191,245,4,2,2017,454
Jammu & Kashmir,8,0,1,378,947,80,0,2017,1334
Jharkhand,310,6,0,1055,1038,280,28,2017,2717
Karnataka,217,7,2,2426,998,105,377,2017,4132
Kerala,12,4,9,3021,190,11,455,2017,3702
Madhya Pradesh,635,21,5,6144,5427,12,571,2017,12815
Maharashtra,239,nan,2,6711,6560,61,2943,2017,16516
Manipur,0,0,1,19,70,8,7,2017,105
Meghalaya,1,0,0,20,56,23,69,2017,169
Mizoram,0,0,0,20,0,0,59,2017,79
Nagaland,0,1,0,3,8,1,14,2017,27
Odisha,365,9,11,2525,2773,1,46,2017,5730
Punjab,72,4,4,1290,1133,54,67,2017,2624
Rajasthan,458,4,3,11508,3913,197,266,2017,16349
Sikkim,0,0,0,5,29,4,48,2017,86
Tamil Nadu,48,2,3,984,869,76,293,2017,2275
Telangana,270,3,1,8434,1066,109,412,2017,10295
Tripura,34,2,0,351,95,8,47,2017,537
Uttar Pradesh,2711,67,41,12895,15747,nan,3026,2017,34487
Uttarakhand,65,1,3,397,381,34,4,2017,885
West Bengal,501,3,0,17078,4602,217,629,2017,23030
A&N Islands,1,0,0,4,3,0,12,2017,20
Chandigarh,1,0,0,121,147,0,0,2017,269
D&N Haveli,0,0,0,4,0,0,2,2017,6
Daman & Diu,0,0,8,5,0,0,1,2017,14
Delhi,120,6,0,2769,3901,0,593,2017,7389
Lakshadweep,0,0,0,nan,0,0,1,2017,1
Puducherry,2,4,2,5,13,0,11,2017,37
Andhra Pradesh,140,4,5,6889,433,60,46,2018,7577
Arunachal Pradesh,0,0,0,60,54,10,3,2018,127
Assam,176,67,3,11261,924,1399,373,2018,14203
Bihar,1111,9,6,2603,932,0,947,2018,5608
Chhattisgarh,79,10,0,504,1274,1,499,2018,2367
Goa,0,1,0,10,65,0,1,2018,77
Gujarat,9,6,7,2928,333,0,415,2018,3698
Haryana,216,26,0,4195,61,893,633,2018,6024
Himachal Pradesh,4,7,0,183,88,1,3,2018,286
Jammu & Kashmir,8,0,0,337,362,0,14,2018,721
Jharkhand,266,7,0,1052,118,352,113,2018,1908
Karnataka,202,16,2,2075,1103,71,351,2018,3820
Kerala,17,1,4,2070,96,24,601,2018,2813
Madhya Pradesh,547,46,5,4160,4582,12,1306,2018,10658
Maharashtra,205,18,5,6882,6024,70,3265,2018,16469
Manipur,0,0,0,14,0,12,13,2018,39
Meghalaya,1,4,0,18,23,21,82,2018,149
Mizoram,0,1,0,6,0,0,52,2018,59
Nagaland,0,0,0,3,35,0,3,2018,41
Odisha,373,1,5,1984,2381,83,95,2018,4922
Punjab,67,4,4,1499,11,0,85,2018,1670
Rajasthan,405,6,1,12363,1459,24,34,2018,14292
Sikkim,1,0,0,1,6,1,37,2018,46
Tamil Nadu,55,4,2,809,191,148,427,2018,1636
Telangana,186,6,10,6286,659,51,407,2018,7605
Tripura,18,0,0,303,55,13,49,2018,438
Uttar Pradesh,2521,41,32,14361,2499,0,3338,2018,22792
Uttarakhand,63,2,2,630,135,4,21,2018,857
West Bengal,444,6,38,17150,2886,95,627,2018,21246
A&N Islands,0,0,0,4,0,0,17,2018,21
Chandigarh,6,0,0,93,98,2,1,2018,200
D&N Haveli,0,0,0,1,0,0,2,2018,3
Daman & Diu,0,0,0,4,0,0,2,2018,6
Delhi,157,3,5,3418,3671,1,685,2018,7940
Lakshadweep,0,0,0,1,0,0,2,2018,3
Puducherry,0,0,0,8,14,0,9,2018,31
Andhra Pradesh,112,6,3,7952,595,48,63,2019,8779
Arunachal Pradesh,1,1,0,54,74,9,11,2019,150
Assam,164,27,6,11946,7220,1474,371,2019,21208
Bihar,1127,4,7,2641,9036,1,515,2019,13331
Chhattisgarh,76,3,0,732,2049,2,589,2019,3451
Goa,1,0,0,9,52,0,0,2019,62
Gujarat,9,7,5,3629,933,0,341,2019,4924
Haryana,248,6,4,4875,2863,813,654,2019,9463
Himachal Pradesh,4,13,1,228,346,3,4,2019,599
Jammu & Kashmir,8,1,0,348,899,0,18,2019,1274
Jharkhand,305,4,0,1426,1018,304,126,2019,3183
Karnataka,203,23,7,2503,1110,58,367,2019,4271
Kerala,8,14,2,3039,229,20,550,2019,3862
Madhya Pradesh,550,37,8,5487,6137,22,2668,2019,14909
Maharashtra,196,47,6,8561,7008,30,3277,2019,19125
Manipur,0,0,0,15,85,36,8,2019,144
Meghalaya,3,6,0,23,142,22,61,2019,257
Mizoram,0,0,0,6,2,0,41,2019,49
Nagaland,0,0,0,0,13,1,2,2019,16
Odisha,342,3,3,2863,3934,54,72,2019,7271
Punjab,70,0,5,1614,1550,1,122,2019,3362
Rajasthan,453,8,2,18453,5915,13,3,2019,24847
Sikkim,0,0,0,1,0,0,26,2019,27
Tamil Nadu,28,8,4,781,702,99,468,2019,2090
Telangana,163,20,0,8541,1337,74,753,2019,10888
Tripura,38,0,1,452,139,10,63,2019,703
Uttar Pradesh,2424,35,44,18617,11745,0,3899,2019,36764
Uttarakhand,57,2,2,644,382,0,100,2019,1187
West Bengal,444,6,38,17150,4397,95,627,2019,22757
A&N Islands,0,0,0,1,0,0,5,2019,6
Chandigarh,6,0,0,177,140,0,3,2019,326
D&N Haveli,3,0,0,3,1,0,1,2019,8
Daman & Diu,2,0,0,4,2,0,1,2019,9
Delhi,117,5,8,3792,3789,0,604,2019,8315
Lakshadweep,0,0,0,0,0,0,7,2019,7
Puducherry,0,0,0,8,0,0,0,2019,8
Andhra Pradesh,111,5,4,6579,537,54,104,2020,7394
Arunachal Pradesh,0,0,0,70,48,2,9,2020,129
Assam,150,26,4,11413,5915,1055,323,2020,18886
Bihar,1047,3,1,1936,6747,0,648,2020,10382
Chhattisgarh,71,8,1,674,1357,0,472,2020,2583
Goa,0,1,0,8,33,0,0,2020,42
Gujarat,7,7,4,3345,603,0,275,2020,4241
Haryana,251,2,1,4122,2449,789,536,2020,8150
Himachal Pradesh,1,8,0,259,284,1,2,2020,555
Jharkhand,280,9,1,882,995,231,158,2020,2556
Karnataka,178,8,6,2092,951,26,340,2020,3601
Kerala,6,1,4,2736,152,5,410,2020,3314
Madhya Pradesh,627,27,5,5540,4990,32,2277,2020,13498
Maharashtra,197,23,4,6749,5332,50,2737,2020,15092
Manipur,1,2,0,7,49,23,13,2020,95
Meghalaya,1,2,2,17,29,15,60,2020,126
Mizoram,0,0,0,7,1,0,40,2020,48
Nagaland,1,0,0,2,6,0,4,2020,13
Odisha,320,20,6,3659,3775,10,523,2020,8313
Punjab,63,6,2,1271,1260,0,139,2020,2741
Rajasthan,480,8,2,13896,4766,11,5,2020,19168
Sikkim,0,0,0,1,13,0,23,2020,37
Tamil Nadu,40,3,0,702,653,82,633,2020,2113
Telangana,175,14,4,7745,1341,46,557,2020,9882
Tripura,23,2,2,358,110,17,54,2020,566
Uttar Pradesh,2302,31,23,14533,9257,1,3887,2020,30034
Uttarakhand,65,0,1,669,350,0,157,2020,1242
West Bengal,523,9,29,19966,7805,30,828,2020,29190
A&N Islands,0,0,0,2,1,0,8,2020,11
Chandigarh,1,0,1,96,92,0,0,2020,190
D&N Haveli and Daman & Diu,1,0,0,4,0,0,2,2020,7
Delhi,112,1,2,2591,3009,0,373,2020,6088
Jammu & Kashmir,9,0,0,349,783,0,24,2020,1165
Ladakh,0,0,0,3,0,0,0,2020,3
Lakshadweep,0,0,0,0,0,0,2,2020,2
Puducherry,2,0,0,9,0,0,10,2020,21
Andhra Pradesh,132,20,12,8,65,54,104,2021,395
Arunachal Pradesh,1,5,4,3596,425,2,9,2021,4042
Assam,153,1,0,52,48,1025,263,2021,1542
Bihar,1156,26,4,12530,4512,0,523,2021,18751
Chhattisgarh,82,3,1,1936,6747,0,418,2021,9187
Goa,1,8,1,856,1254,1,0,2021,2121
Gujarat,8,2,1,7,33,0,241,2021,292
Haryana,345,7,4,3256,510,680,435,2021,5237
Himachal Pradesh,5,2,1,4182,2163,1,3,2021,6357
Jharkhand,85,8,0,269,365,258,161,2021,1146
Karnataka,455,9,1,785,925,26,345,2021,2546
Kerala,196,8,6,1058,852,5,532,2021,2657
Madhya Pradesh,15,1,4,2845,142,32,2586,2021,5625
Maharashtra,452,27,5,5780,4325,50,2410,2021,13049
Manipur,200,23,4,6789,5820,52,13,2021,12901
Meghalaya,0,2,0,7,49,15,60,2021,133
Mizoram,2,2,2,17,29,0,40,2021,92
Nagaland,1,0,0,7,1,0,4,2021,13
Odisha,0,0,0,2,6,10,523,2021,541
Punjab,259,20,6,3598,3456,0,139,2021,7478
Rajasthan,65,6,2,1354,1287,11,5,2021,2730
Sikkim,421,8,2,12548,4896,0,23,2021,17898
Tamil Nadu,2,0,0,1,13,82,633,2021,731
Telangana,54,3,0,702,653,46,557,2021,2015
Tripura,145,14,4,7745,1341,17,54,2021,9320
Uttar Pradesh,17,2,2,358,110,1,845,2021,1335
Uttarakhand,2563,31,23,14533,9257,0,157,2021,26564
West Bengal,51,0,1,669,350,30,828,2021,1929
A&N Islands,420,9,29,19966,7805,0,8,2021,28237
Chandigarh,0,0,0,2,1,0,0,2021,3
D&N Haveli and Daman & Diu,3,0,1,96,92,0,2,2021,194
Delhi,1,0,0,4,0,0,250,2021,255
Jammu & Kashmir,0,1,2,2591,3009,0,24,2021,5627
Ladakh,0,0,0,856,561,0,0,2021,1417
Lakshadweep,0,0,0,3,0,0,2,2021,5
Puducherry,0,0,0,0,0,0,10,2021,10
Puducherry,0,0,0,9,0,0,0,2021,0
ANDHRA PRADESH,20,84,0,429,70,0,0,2011,0
ANDHRA PRADESH,36,16,1,198,83,0,0,2011,334
ANDHRA PRADESH,25,17,2,421,47,0,0,2011,512
ANDHRA PRADESH,15,41,5,122,65,0,0,2011,248
ANDHRA PRADESH,51,89,7,1411,90,0,0,2011,1648
ANDHRA PRADESH,17,72,1,575,51,0,0,2011,716
ANDHRA PRADESH,0,0,2,1,0,0,0,2011,3
ANDHRA PRADESH,8,40,0,494,57,0,0,2011,599
ANDHRA PRADESH,6,33,0,395,28,0,0,2011,462
ANDHRA PRADESH,37,59,0,1355,39,0,0,2011,1490
ANDHRA PRADESH,40,58,1,702,120,0,0,2011,921
ANDHRA PRADESH,20,84,2,519,73,0,0,2011,698
ANDHRA PRADESH,15,80,5,733,75,0,0,2011,908
ANDHRA PRADESH,20,39,7,424,58,1,0,2011,549
ANDHRA PRADESH,28,88,1,259,69,1,1,2011,447
